id,proyecto,version_doc,parametro,valor_original,unidad_original,valor_ms,es_valor_especial,tipo_timeout,fuente_url
22,tomcat,9.0,keepAliveTimeout,connectionTimeout,ms,,true,IDLE,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
23,tomcat,9.0,asyncTimeout,30000,ms,30000,false,REQUEST_RPC,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
24,tomcat,9.0,connectionUploadTimeout,300000,ms,300000,false,READ_SOCKET,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
25,tomcat,9.0,connectionLinger,-1,s,,true,SHUTDOWN,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
26,tomcat,9.0,socket.soLingerTime,NO_ENCONTRADO,s,,true,SHUTDOWN,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
27,tomcat,9.0,socket.soTimeout,connectionTimeout,ms,,true,READ_SOCKET,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
28,tomcat,9.0,selectorTimeout,1000,ms,1000,false,IDLE,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
29,tomcat,9.0,socket.unlockTimeout,250,ms,250,false,SHUTDOWN,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
30,tomcat,9.0,pollTime,2000,microsegundos,,false,OTRO,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
31,tomcat,9.0,threadsMaxIdleTime,60000,ms,60000,false,IDLE,https://tomcat.apache.org/tomcat-9.0-doc/config/http.html
32,kafka,3.9,zookeeper.session.timeout.ms,18000,ms,18000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_zookeeper.session.timeout.ms
33,kafka,3.9,zookeeper.connection.timeout.ms,null,ms,,true,CONNECT,https://kafka.apache.org/documentation/#brokerconfigs_zookeeper.connection.timeout.ms
34,kafka,3.9,connections.max.idle.ms,600000,ms,600000,false,IDLE,https://kafka.apache.org/documentation/#brokerconfigs_connections.max.idle.ms
35,kafka,3.9,request.timeout.ms,30000,ms,30000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#brokerconfigs_request.timeout.ms
36,kafka,3.9,replica.socket.timeout.ms,30000,ms,30000,false,READ_SOCKET,https://kafka.apache.org/documentation/#brokerconfigs_replica.socket.timeout.ms
37,kafka,3.9,replica.fetch.wait.max.ms,500,ms,500,false,READ_SOCKET,https://kafka.apache.org/documentation/#brokerconfigs_replica.fetch.wait.max.ms
38,kafka,3.9,replica.lag.time.max.ms,30000,ms,30000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_replica.lag.time.max.ms
39,kafka,3.9,replica.fetch.backoff.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#brokerconfigs_replica.fetch.backoff.ms
40,kafka,3.9,controller.socket.timeout.ms,30000,ms,30000,false,READ_SOCKET,https://kafka.apache.org/documentation/#brokerconfigs_controller.socket.timeout.ms
41,kafka,3.9,controller.quorum.election.timeout.ms,1000,ms,1000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.election.timeout.ms
42,kafka,3.9,controller.quorum.fetch.timeout.ms,2000,ms,2000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.fetch.timeout.ms
43,kafka,3.9,controller.quorum.election.backoff.max.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.election.backoff.max.ms
44,kafka,3.9,controller.quorum.request.timeout.ms,2000,ms,2000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.request.timeout.ms
45,kafka,3.9,controller.quorum.retry.backoff.ms,20,ms,20,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.retry.backoff.ms
46,kafka,3.9,controller.quorum.append.linger.ms,25,ms,25,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_controller.quorum.append.linger.ms
47,kafka,3.9,group.initial.rebalance.delay.ms,3000,ms,3000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_group.initial.rebalance.delay.ms
48,kafka,3.9,group.min.session.timeout.ms,6000,ms,6000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.min.session.timeout.ms
49,kafka,3.9,group.max.session.timeout.ms,1800000,ms,1800000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.max.session.timeout.ms
50,kafka,3.9,group.consumer.session.timeout.ms,45000,ms,45000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.session.timeout.ms
51,kafka,3.9,group.consumer.min.session.timeout.ms,45000,ms,45000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.min.session.timeout.ms
52,kafka,3.9,group.consumer.max.session.timeout.ms,60000,ms,60000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.max.session.timeout.ms
53,kafka,3.9,group.consumer.heartbeat.interval.ms,5000,ms,5000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.heartbeat.interval.ms
54,kafka,3.9,group.consumer.min.heartbeat.interval.ms,5000,ms,5000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.min.heartbeat.interval.ms
55,kafka,3.9,group.consumer.max.heartbeat.interval.ms,15000,ms,15000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.consumer.max.heartbeat.interval.ms
56,kafka,3.9,group.share.session.timeout.ms,45000,ms,45000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.session.timeout.ms
57,kafka,3.9,group.share.min.session.timeout.ms,45000,ms,45000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.min.session.timeout.ms
58,kafka,3.9,group.share.max.session.timeout.ms,60000,ms,60000,false,SESSION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.max.session.timeout.ms
59,kafka,3.9,group.share.heartbeat.interval.ms,5000,ms,5000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.share.heartbeat.interval.ms
60,kafka,3.9,group.share.min.heartbeat.interval.ms,5000,ms,5000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.share.min.heartbeat.interval.ms
61,kafka,3.9,group.share.max.heartbeat.interval.ms,15000,ms,15000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#brokerconfigs_group.share.max.heartbeat.interval.ms
62,kafka,3.9,group.share.record.lock.duration.ms,30000,ms,30000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.record.lock.duration.ms
63,kafka,3.9,group.share.min.record.lock.duration.ms,15000,ms,15000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.min.record.lock.duration.ms
64,kafka,3.9,group.share.max.record.lock.duration.ms,60000,ms,60000,false,LEASE_ELECTION,https://kafka.apache.org/documentation/#brokerconfigs_group.share.max.record.lock.duration.ms
65,kafka,3.9,group.coordinator.append.linger.ms,10,ms,10,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_group.coordinator.append.linger.ms
66,kafka,3.9,transaction.max.timeout.ms,900000,ms,900000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#brokerconfigs_transaction.max.timeout.ms
